,name,location,operationHour,brand
74,포토시그니처 진주중안점,경남 진주시 진양호로527번길 14 1층,매일 00:00 ~ 24:00,포토시그니처
75,포토시그니처전남대점,광주 북구 우치로90번길 5,,포토시그니처
76,포토시그니처 칠곡점,대구 북구 동천로 127,,포토시그니처
77,포토시그니처,부산 금정구 금정로 70,,포토시그니처
78,포토시그니처 충장로점,광주 동구 충장로안길 18,,포토시그니처
79,포토시그니처 상남점,경남 창원시 성산구 마디미로43번길 1,,포토시그니처
80,포토시그니처,울산 남구 삼산로277번길 8,,포토시그니처
81,포토시그니처진영점,경남 김해시 진영읍 김해대로361번길 8,,포토시그니처
82,포토시그니처광안점,부산 수영구 광남로94번길 16,,포토시그니처
83,포토시그니처 울산대점,울산 남구 대학로84번길 5-12,,포토시그니처
84,포토시그니처 포항중앙점,경북 포항시 북구 중앙상가길 26,,포토시그니처
85,포토시그니처 내외동점,경남 김해시 내외중앙로 48 1층,매일 00:00 ~ 24:00,포토시그니처
86,포토시그니처 삼계점,경남 김해시 해반천로144번길 37,,포토시그니처
87,포토시그니처 부산서면점,부산 부산진구 서전로10번길 61 쥬디스태화 신관 1층,,포토시그니처
88,포토시그니처해운대점,부산 해운대구 구남로 24,,포토시그니처
89,포토시그니처 사직점,부산 동래구 사직북로 4,,포토시그니처
90,포토시그니처 구룡포점,경북 포항시 남구 구룡포읍 구룡포길 139-1,,포토시그니처
91,포토시그니처광복점,부산 중구 광복로 51-1,,포토시그니처
92,포토시그니처 서면2호점,부산 부산진구 중앙대로692번길 31 1층,,포토시그니처
93,포토시그니처 어방점,경남 김해시 인제로188번길 6,,포토시그니처
94,포토시그니처덕천점,부산 북구 덕천1길 32,,포토시그니처
95,포토시그니처 울산성남점,울산 중구 만남의거리 24,매일 00:00 ~ 24:00,포토시그니처
96,포토시그니처 장산역점,부산 해운대구 해운대로 814 B동 147호,매일 00:00 ~ 24:00,포토시그니처
97,포토시그니처 제주시청점,제주특별자치도 제주시 광양14길 2,매일 00:00 ~ 24:00,포토시그니처
