,name,location,operationHour,brand
102,포토이즘박스 호평점,경기 남양주시 늘을2로 26 1층,매일 00:00 ~ 24:00,포토이즘박스
104,포토이즘박스 동탄영천점,경기 화성시 동탄순환대로 686 108호,매일 00:00 ~ 24:00,포토이즘박스
105,포토이즘박스 오산점,경기 오산시 성호대로 115,매일 00:00 ~ 24:00,포토이즘박스
106,포토이즘박스 송탄점,경기 평택시 특구로23번길 2,매일 00:00 ~ 24:00,포토이즘박스
107,포토이즘박스 소사벌점,경기 평택시 비전5로 15 103호,매일 00:00 ~ 24:00,포토이즘박스
108,포토이즘박스 한경대점,경기 안성시 석정2길 13-2,매일 00:00 ~ 24:00,포토이즘박스
109,포토이즘박스 용인명지대점,경기 용인시 처인구 명지로40번길 4,매일 00:00 ~ 24:00,포토이즘박스
110,포토이즘박스 평택역점,경기 평택시 평택2로10번길 15 1층,매일 00:00 ~ 24:00,포토이즘박스
111,포토이즘박스 이천점,경기 이천시 어재연로37번길 17,매일 00:00 ~ 24:00,포토이즘박스
113,포토이즘박스 당진중앙점,충남 당진시 당진중앙2로 103-8 1층,매일 00:00 ~ 24:00,포토이즘박스
117,포토이즘박스 불당점,충남 천안시 서북구 불당33길 31 1층,매일 00:00 ~ 24:00,포토이즘박스
119,포토이즘박스 원주단계점,강원 원주시 천사로 20,매일 00:00 ~ 24:00,포토이즘박스
120,포토이즘박스 충주연수점,충북 충주시 연수동산로6길 21 세로빌 1층,매일 00:00 ~ 24:00,포토이즘박스
121,포토이즘박스 충북대점,충북 청주시 서원구 내수동로102번길 40,매일 00:00 ~ 24:00,포토이즘박스
122,포토이즘박스 강원대점,강원 춘천시 서부대성로 239 1층,매일 00:00 ~ 24:00,포토이즘박스
123,포토이즘박스 천안신부점,충남 천안시 동남구 먹거리10길 12,매일 00:00 ~ 24:00,포토이즘박스
124,포토이즘박스 세종나성점,세종특별자치시 한누리대로 288 113호,매일 00:00 ~ 24:00,포토이즘박스
125,포토이즘박스 성안길점,"충북 청주시 상당구 사직대로 371 1층 105,106호",매일 00:00 ~ 24:00,포토이즘박스
127,포토이즘박스 오창호수공원점,충북 청주시 청원구 오창읍 중심상업1로 8-9 108호,매일 00:00 ~ 24:00,포토이즘박스
128,포토이즘박스 진천중앙점,충북 진천군 진천읍 중앙북4길 14-2,매일 00:00 ~ 24:00,포토이즘박스
129,포토이즘박스 대전둔산점,대전 서구 둔지로 13 A동 112호,매일 00:00 ~ 24:00,포토이즘박스
130,포토이즘박스 서산호수공원점,충남 서산시 호수공원5로 40 1층,매일 00:00 ~ 24:00,포토이즘박스
131,포토이즘박스 춘천명동점,강원 춘천시 금강로 60,매일 00:00 ~ 24:00,포토이즘박스
132,포토이즘 박스 제천점,충북 제천시 의림대로 136,매일 00:00 ~ 24:00,포토이즘박스
133,포토이즘박스 청주율량점,충북 청주시 청원구 율량로190번길 63 1층,매일 00:00 ~ 24:00,포토이즘박스
134,포토이즘박스 공주대점,충남 공주시 번영1로 90,매일 00:00 ~ 24:00,포토이즘박스
