,name,location,operationHour,brand
76,셀픽스 화순점,전남 화순군 화순읍 광덕로 169-2 1층,,셀픽스
77,셀픽스 충장로2호점,광주 동구 중앙로160번길 28-1,,셀픽스
78,셀픽스 순천조례점,전남 순천시 남신월2길 1,매일 00:00 ~ 24:00,셀픽스
79,셀픽스 광양점,전남 광양시 공영로 74,매일 00:00 ~ 24:00,셀픽스
80,셀픽스 목포점,전남 목포시 원형로 35,,셀픽스
81,셀픽스 서면역점,부산 부산진구 서전로10번길 23,매일 00:00 ~ 24:00,셀픽스
82,셀픽스 경남대점,경남 창원시 마산합포구 월영동2길 24,,셀픽스
83,셀픽스 여수학동점,전남 여수시 시청동4길 10,매일 00:00 ~ 24:00,셀픽스
84,셀픽스 여수 이순신광장점,전남 여수시 통제영4길 6,매일 00:00 ~ 24:00,셀픽스
85,셀픽스 부산대점,부산 금정구 장전로12번길 46,,셀픽스
86,셀픽스,부산 사하구 낙동대로550번길 37,,셀픽스
87,셀픽스 광안리점,부산 수영구 민락수변로17번길 36 타워더모스트상가 1층 124호,매일 00:00 ~ 24:00,셀픽스
88,셀픽스 연동점,제주특별자치도 제주시 연동7길 40,,셀픽스
89,셀픽스 제주도점,제주특별자치도 제주시 광양8길 7,,셀픽스
